delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2024-09-09,4561,618,139,123,109,433,229,762,2024,9,0,1,0,37,fall,6974,0.6540005735589332,0.7426154287353025,0.05319759105248064,0.032836248924577004,4567.0,3888.0,789.0,451.0,7152.0,5849.0,7092.0,840.7145274507071,0.019772325814042965,False
2024-09-14,6291,867,140,212,197,624,236,901,2024,9,5,0,1,37,fall,9468,0.6644486692015209,0.756020278833967,0.05798479087452472,0.024926066751161807,4561.0,4567.0,618.0,789.0,6974.0,7152.0,6778.5,368.067362494058,0.012377619290852366,False
2024-09-16,4050,711,111,133,130,423,181,665,2024,9,0,1,0,38,fall,6404,0.6324172392254841,0.7434415990006246,0.05840099937539038,0.028263585259212992,6291.0,4561.0,867.0,618.0,9468.0,6974.0,7360.75,1026.8678509590864,0.009783125609042745,False
2024-09-21,4266,590,133,122,113,412,221,686,2024,9,5,0,1,38,fall,6543,0.6519944979367263,0.7421672015894849,0.05624331346477151,0.033776555097050284,4050.0,6291.0,711.0,867.0,6404.0,9468.0,7499.5,979.608893045246,0.02081355205876097,False
2024-09-23,5398,752,129,141,131,456,219,790,2024,9,0,1,0,39,fall,8016,0.6734031936127745,0.7672155688622755,0.0500249500998004,0.027320359281437126,4266.0,4050.0,590.0,711.0,6543.0,6404.0,7347.25,1021.0455425689879,0.01594649414600228,False
2024-09-28,5051,781,148,152,147,500,226,799,2024,9,5,0,1,39,fall,7804,0.6472321886212199,0.7473090722706305,0.05727831881086622,0.028959507944643772,5398.0,4266.0,752.0,590.0,8016.0,6543.0,7607.75,1043.4453747082302,0.011268959785266567,False
2024-09-30,4291,789,132,132,126,424,214,685,2024,9,0,1,0,40,fall,6793,0.6316796702487855,0.7478286471367585,0.057412041807743265,0.031503017812453994,5051.0,5398.0,781.0,752.0,7804.0,8016.0,7191.75,637.9536947668424,0.011403659783495518,False
2024-10-05,6636,891,184,204,194,668,280,1034,2024,10,5,0,1,40,fall,10091,0.6576156971558815,0.7459121989891982,0.05767515607967496,0.02774749777029036,4291.0,5051.0,789.0,781.0,6793.0,7804.0,7289.0,564.3382555406514,0.038171628184768,False
2024-10-07,5630,1012,126,186,166,545,226,843,2024,10,0,1,0,41,fall,8734,0.6446072818868789,0.7604762995191207,0.05472864666819327,0.025875887336844514,6636.0,4291.0,891.0,789.0,10091.0,6793.0,8176.0,977.5544315620822,0.009632788431697863,False
2024-10-12,5906,769,152,191,191,600,260,916,2024,10,5,0,1,41,fall,8985,0.6573177518085699,0.7429048414023373,0.05943238731218698,0.028937117417918753,5630.0,6636.0,1012.0,891.0,8734.0,10091.0,8355.5,988.645875259016,0.016689992462188073,False
